AA,value1,value2
CC,3.014374677,3.294204708
CD,-3.805650111,4.65841161
CS,2.853642987,0.169195951
CQ,2.253714258,-0.663809586
CK,0.352376043,4.696311481
CI,-4.363357664,-1.30228702
CP,2.904594222,3.572458225
CT,-2.118230237,-0.214076426
CF,-3.258864395,-4.01340353
CN,-3.091280393,-0.121949268
CG,4.369374771,3.389091285
CH,0.10408101,3.902037964
CL,0.715737351,1.192276977
CR,4.372915693,-4.089480889
CW,-0.533453405,2.714946651
CA,-3.241578973,-2.528854041
CV,3.157055405,-1.369847084
CE,3.183830458,0.39091787
CY,2.811762268,2.567440576
CM,3.268310619,1.744955525
DC,3.821950112,-2.96031751
DD,-1.703368031,-0.656469071
DS,0.593755332,3.831748816
DQ,4.329484967,0.728237352
DK,-0.343715719,3.414428894
DI,1.569174133,-0.708397505
DP,3.447433087,0.946194987
DT,0.340506673,4.986637487
DF,-4.955703328,2.586166199
DN,-4.255145272,0.427277588
DG,-4.994605506,-1.10112101
DH,-1.610214587,2.329351976
DL,0.000163842,-3.50500073
DR,1.612765902,1.417150197
DW,1.446512127,-3.274723788
DA,4.667376538,1.877921374
DV,-0.469842828,-1.390431591
DE,4.708270545,-1.590332569
DY,2.023277824,4.087764378
DM,-4.402521484,-2.617871973
SC,-3.531786409,-2.3243284
SD,-3.068628869,3.6452221
SS,2.048178316,2.689860531
SQ,-1.850397839,-2.691803929
SK,-0.289737383,4.791132857
SI,-1.736910985,-0.88189205
SP,-1.650995336,-3.873362685
ST,0.609304262,1.259455907
SF,1.851153211,4.492291286
SN,-3.948253364,-4.013296693
SG,-4.142556032,3.041570448
SH,4.864311139,4.552266235
SL,-4.634614206,-3.591743998
SR,-1.857230999,-0.179712287
SW,3.17143543,-4.259578254
SA,4.7762269,3.332084736
SV,4.456142233,4.252760419
SE,2.642372667,0.770242484
SY,-0.322577903,4.061063685
SM,-0.333219546,-2.209356585
QC,0.27648388,-4.712049214
QD,-2.493600941,-0.873424179
QS,1.740675791,-4.767336802
QQ,2.898183436,-0.158122896
QK,4.926738286,-3.502507801
QI,2.418552725,1.266306068
QP,-1.040591615,-0.882320263
QT,0.737686183,1.211056742
QF,1.0025672,-3.631560806
QN,0.319837279,2.159733405
QG,-1.817393496,-3.287515509
QH,-0.007542062,2.577675405
QL,-4.348398403,3.694719544
QR,-1.733479804,3.833268634
QW,4.246961507,4.084687745
QA,-0.730914271,1.281718593
QV,2.875715792,-4.729292143
IS,1.4456694,4.202581101
IQ,-4.033362756,-1.281106138
IK,-2.497069635,0.842167307
II,4.000440265,4.916894114
IP,4.222508083,3.348073467
IT,2.359978451,-2.73168528
IF,-1.041372739,-2.96494576
IN,0.599912173,-0.371013361
IG,2.406945137,-4.454064415
IH,3.926451565,-3.776021003
IL,-3.950797742,3.342682081
IR,3.215817562,-0.448901985
IW,-3.760356677,1.062255775
IA,3.538907627,3.627642767
IV,-1.357532905,-1.08203773
IE,3.162657926,-0.147084687
IY,4.661220823,0.148241626
IM,2.712688713,-0.476658006
PC,4.773387105,-3.770554707
PD,4.512424771,1.428940694
PS,3.533820601,-1.219831678
PQ,-0.868371776,-3.206462899
PK,-4.692621348,-4.700436864
PI,-4.228010101,-3.990987797
PP,3.020364427,4.782581725
PT,-0.549220526,0.925569449
PF,0.2024639,-0.714571568
PN,-1.213462536,4.976694289
PG,-0.949901509,4.519978272
PH,-2.861114909,-3.072448143
PL,3.058739224,3.746583912
PR,1.21590317,-0.794713974
PW,2.426124383,-4.653816768
PA,0.788962774,-4.42932094
PV,-2.244245653,-4.54790434
PE,-2.126391371,-1.555171173
PY,-2.028880882,1.566445834
PM,3.693363112,-2.81722975
TC,-3.797603129,-1.620892627
NT,4.945701718,-1.727845586
NF,3.217264816,-0.659510878
NN,-4.499917851,-2.567327011
NG,-0.215957866,4.606083116
NH,2.773157095,-1.076928198
NL,-3.442577365,-0.844556659
NR,-1.082855157,1.275028911
NW,1.160232216,-1.049497947
NA,-2.190156135,1.918050988
HE,-4.270023725,-4.092092262
HY,-0.6365935,-3.525048257
HM,4.999586119,0.594930854
LC,4.131966138,-0.830001165
LD,-2.949200725,3.464219872
LS,-2.151420588,1.579741688
LQ,4.162452391,0.828988946
LK,-2.955228944,-1.679303653
LI,2.181459393,4.607375926
LP,0.04935323,1.192788867
LT,4.696897662,2.013712841
LF,-3.955490516,-3.746384068
LN,4.755199197,-0.749891874
LG,-3.867772221,-1.15284855
LH,3.980084507,3.7545189
LL,2.70624255,-2.283425174
LR,3.029741598,3.902513063
LW,-0.692919812,0.782587325
LA,2.655154413,3.674686367
LV,-1.991700403,1.556903177
LE,-2.073888914,-3.581464299
LY,2.187179608,-3.573552619
LM,-1.499722782,1.077310314
RC,3.948089724,-0.764093978
WH,-1.373512421,2.303909908
WL,-4.492547013,-3.112523688
WR,-2.415869178,4.310726411
WW,-4.639096606,0.467638407
WA,2.280972213,-4.17010166
WV,-4.621730677,-4.374619474
AF,2.353246178,-1.064396964
AN,-0.251239941,3.74957055
AG,-2.860735873,-2.479668098
AH,-2.613827682,-3.214057753
AL,-3.564609353,3.897930961
VS,-1.459699772,1.946040697
VQ,-3.016117089,2.413489136
VK,-0.714310679,2.562839619
VI,-4.994665867,-3.545223748
VP,-1.15215958,3.453484174
VT,-3.437793179,-4.587571966
VF,0.432004863,3.415814467
VN,-3.460445689,-4.292799296
VG,-4.309302014,-0.250756729
VH,2.262612741,-1.402681674
VL,-3.10955375,4.978379963
VR,1.899837205,-4.979660625
VW,1.262578433,-2.17444128
VA,-4.930843643,-4.298719767
VV,-3.734452287,-4.487133653
VE,3.362688082,2.319710075
VY,1.653598748,4.650403411
VM,1.722205601,-0.592126664
EC,3.848871415,-3.906125694
ED,0.053714137,3.770553938
ES,-3.020723673,4.801205302
EQ,4.809805277,-0.689200363
EK,-1.67892429,-4.439652939
EI,-4.922719111,0.567316355
EP,1.757091836,-4.484290089
ET,1.9420817,3.862743667
EF,4.286130766,1.974014323
EN,-0.42771454,-0.232609886
EG,1.778875708,0.138354511
ER,-0.073496575,-0.265421148
EW,-0.233941954,-1.590840987
EA,0.890197497,0.685355479
EV,2.266272307,1.311824156
EE,-4.389877323,-3.005254429
EY,4.547282635,4.500157222
EM,2.951868544,2.861792741
YC,2.524442787,-0.063728591
YD,1.640174315,1.874234432
MI,1.738539728,3.216873202
MM,-2.159457666,-0.82647996
